Date,Open,High,Low,Close,Adj Close,Volume
2017-09-20,37.23,37.290001000000004,36.66,37.07,36.851612,23957500
2017-09-21,36.990002000000004,37.27,36.849998,37.200001,36.980846,22954200
2017-09-22,36.950001,37.220001,36.950001,37.18,36.960964000000004,21631800
2017-09-25,37.049999,37.23,36.849998,37.16,36.941082,23180800
2017-09-26,37.209998999999996,37.639998999999996,37.0,37.470001,37.249256,29790400
2017-09-27,37.619999,37.689999,37.099998,37.540001000000004,37.318844,25981400
2017-09-28,37.32,37.880001,37.290001000000004,37.830002,37.607136,21171400
2017-09-29,37.84,38.150002,37.700001,38.080002,37.855663,23217300
2017-10-02,38.119999,39.09,38.080002,39.040001000000004,38.810005,37394500
2017-10-03,38.950001,39.700001,38.950001,39.380001,39.148003,34002200
2017-10-04,39.389998999999996,39.400002,38.860001000000004,39.34,39.108238,28368800
2017-10-05,39.5,39.650002,39.209998999999996,39.529999,39.297115000000005,17710300
2017-10-06,39.599998,39.889998999999996,39.419998,39.630001,39.39653,18887500
2017-10-09,39.68,39.880001,39.52,39.860001000000004,39.625175,18494100
2017-10-10,39.93,39.950001,39.380001,39.650002,39.416412,29890000
2017-10-11,39.48,39.669998,39.060001,39.299999,39.068474,30754700
2017-10-12,39.349998,39.389998999999996,38.98,39.189999,38.959122,18286900
2017-10-13,39.439999,39.810001,39.279999,39.669998,39.436291,16829400
2017-10-16,39.709998999999996,39.790001000000004,39.439999,39.759997999999996,39.525760999999996,12489100
2017-10-17,39.560001,39.869999,39.369999,39.790001000000004,39.555588,15532800
2017-10-18,39.799999,40.290001000000004,39.599998,40.25,40.012878,21424600
2017-10-19,39.880001,40.330002,39.830002,40.09,39.853821,19222700
2017-10-20,40.330002,40.450001,40.099998,40.43,40.191818,18335700
2017-10-23,40.549999,41.040001000000004,40.400002,40.830002,40.589462,28647000
2017-10-24,41.0,41.049999,40.720001,40.950001,40.708752000000004,19652400
2017-10-25,40.889998999999996,41.060001,40.490002000000004,40.779999,40.539753000000005,24031700
2017-10-26,40.91,41.580002,40.709998999999996,41.349998,41.106396000000004,38247400
2017-10-27,43.299999,45.0,43.099998,44.400002,44.138428000000005,90028300
2017-10-30,44.48,45.189999,43.880001,44.369999,44.108604,48161500
2017-10-31,45.200001,45.799999,44.650002,45.490002000000004,45.222008,47000900
2017-11-01,45.970001,46.709998999999996,45.59,46.709998999999996,46.434818,47813700
2017-11-02,46.610001000000004,47.23,46.209998999999996,47.099998,46.822521,44602300
2017-11-03,47.200001,47.299999,45.599998,46.34,46.066998,39298100
2017-11-06,46.599998,46.740002000000004,46.09,46.700001,46.700001,34035000
2017-11-07,46.700001,47.09,46.389998999999996,46.779999,46.779999,24461400
2017-11-08,46.619999,46.700001,46.279999,46.700001,46.700001,21565800
2017-11-09,46.049999,46.389998999999996,45.650002,46.299999,46.299999,25570400
2017-11-10,46.040001000000004,46.09,45.380001,45.580002,45.580002,24095400
2017-11-13,45.259997999999996,45.939999,45.25,45.75,45.75,18999000
2017-11-14,45.700001,45.919998,45.32,45.860001000000004,45.860001000000004,22201200
2017-11-15,45.389998999999996,45.810001,45.169998,45.459998999999996,45.459998999999996,17157200
2017-11-16,45.630001,46.07,45.459998999999996,45.650002,45.650002,26439400
2017-11-17,45.5,45.619999,44.619999,44.630001,44.630001,63798000
2017-11-20,44.73,45.119999,44.5,44.619999,44.619999,22420000
2017-11-21,44.720001,45.220001,44.709998999999996,44.939999,44.939999,21871000
2017-11-22,44.939999,44.950001,44.540001000000004,44.650002,44.650002,19538300
2017-11-24,44.549999,44.779999,44.43,44.75,44.75,6465800
2017-11-27,44.419998,44.610001000000004,44.27,44.490002000000004,44.490002000000004,18202100
2017-11-28,44.650002,44.84,44.32,44.73,44.73,20194100
2017-11-29,44.849998,45.09,43.77,43.950001,43.950001,27036900
2017-11-30,44.360001000000004,45.200001,44.330002,44.84,44.84,34145300
2017-12-01,44.73,44.84,43.529999,44.68,44.68,26656300
2017-12-04,45.02,45.299999,44.330002,44.490002000000004,44.490002000000004,28000800
2017-12-05,44.599998,44.900002,43.23,43.439999,43.439999,30626900
2017-12-06,43.139998999999996,43.720001,42.669998,43.450001,43.450001,27710800
2017-12-07,43.459998999999996,43.599998,42.779999,43.080002,43.080002,32708400
2017-12-08,43.349998,43.580002,43.110001000000004,43.349998,43.349998,23154700
2017-12-11,43.279999,43.779999,43.25,43.66,43.66,20425900
2017-12-12,43.470001,43.619999,43.080002,43.330002,43.330002,16557400
2017-12-13,43.650002,43.66,43.240002000000004,43.34,43.34,21399500
2017-12-14,43.43,43.57,43.02,43.259997999999996,43.259997999999996,19644900
2017-12-15,43.400002,44.84,43.07,44.560001,44.560001,47477000
2017-12-18,45.150002,46.349998,45.040001000000004,46.259997999999996,46.259997999999996,50060400
